elapsedDistance,engineSpeed,torque,brakePosition
319.0,2287.57992,85.99874851,0.0
319.5,2285.532986,86.06281754,0.0
320.0,2283.741389,86.11889452,0.0
320.5,2282.149571,86.16871842,0.0
321.0,2280.721462,86.21341825,0.0
321.5,2279.431358,86.25379851,0.0
322.0,2278.259853,86.29046661,0.0
322.5,2277.191703,86.32389969,0.0
323.0,2276.214585,86.3544835,0.0
323.5,2275.318313,86.38253681,0.0
324.0,2274.494324,86.40832764,0.0
324.5,2273.735321,86.43208444,0.0
325.0,2273.035011,86.45400415,0.0
325.5,2272.387917,86.47425819,0.0
326.0,2271.789236,86.49299692,0.0
326.5,2271.234723,86.51035316,0.0
327.0,2270.72061,86.52644492,0.0
327.5,2270.243529,86.54137756,0.0
328.0,2269.80046,86.55524561,0.0
328.5,2269.388684,86.5681342,0.0
329.0,2272.797417,86.46144084,0.0
329.5,2279.908715,86.23885723,0.0
330.0,2286.893172,86.02024371,0.0
330.5,2293.752217,85.80555562,0.0
331.0,2300.487259,85.59474879,0.0
331.5,2307.099695,85.38777956,0.0
332.0,2313.590904,85.18460469,0.0
332.5,2319.962256,84.98518138,0.0
333.0,2326.215105,84.7894672,0.0
333.5,2332.350795,84.59742011,0.0
334.0,2338.370658,84.4089984,0.0
334.5,2344.276016,84.2241607,0.0
335.0,2350.068182,84.0428659,0.0
335.5,2355.74846,83.86507321,0.0
336.0,2361.318144,83.69074208,0.0
336.5,2366.778525,83.51983218,0.0
337.0,2372.130881,83.35230343,0.0
337.5,2377.376487,83.18811595,0.0
338.0,2382.516613,83.02723001,0.0
338.5,2387.55252,82.86960611,0.0
339.0,2392.485468,82.71520486,0.0
339.5,2397.316708,82.56398703,0.0
340.0,2402.047491,82.41591352,0.0
340.5,2406.679062,82.27094535,0.0
341.0,2415.132283,82.00635955,0.0
341.5,2423.484653,81.74493035,0.0
342.0,2431.737221,81.48662499,0.0
342.5,2439.891012,81.23141132,0.0
343.0,2447.947036,80.97925777,0.0
