speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,kW,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N
44.97607647,1.103867382,15.25,16.62235448,-0.001553021,1,4.2,2468.332721,155.1783658,40.11100026,7.49202761,134.856497,94.13133687,95.79963097,0,9.39,1,45.12650737,1.4,1.7,36.73336485,12.1292541,0.069769588,3.709932594,-15.36327617,0,2224.552028
44.97598593,1.12387802,15.5,16.62228755,-0.001256845,1,4.2,2468.327752,155.1786291,40.11098759,7.491997445,134.855954,94.12917663,95.79965501,0,9.39,1,45.12650737,1.4,1.7,38.19042745,12.14296338,0.071743414,3.887191018,-15.55267157,0,2224.551997
44.97591265,1.143888699,15.75,16.62223339,-0.001017233,1,4.2,2468.32373,155.1788423,40.11097733,7.491973032,134.8555146,94.12742896,95.79967446,0,9.39,1,45.12650737,1.4,1.7,39.64916198,12.1570437,0.073685041,4.068992899,-15.73727999,0,2224.551973
44.97585334,1.16389941,16,16.62218954,-0.000823355,1,4.2,2468.320475,155.1790148,40.11096903,7.491953271,134.8551589,94.12601488,95.79969021,0,9.39,1,45.12650737,1.4,1.7,41.10961207,12.17148891,0.075594472,4.25520974,-15.91698265,0,2224.551953
44.97580532,1.183910148,16.25,16.62215406,-0.000666463,1,4.2,2468.31784,155.1791545,40.11096231,7.491937276,134.854871,94.12487057,95.79970296,0,9.39,1,45.12650737,1.4,1.7,42.57182072,12.18629281,0.077471431,4.445709943,-16.09166425,0,2224.551937
44.97576646,1.203920907,16.5,16.62212533,-0.000539489,1,4.2,2468.315707,155.1792675,40.11095687,7.491924329,134.8546379,94.12394448,95.79971328,0,9.39,1,45.12650737,1.4,1.7,44.03583027,12.20144908,0.079315409,4.640358898,-16.26121301,0,2224.551924
44.975735,1.223931683,16.75,16.62210208,-0.000436722,1,4.2,2468.313981,155.179359,40.11095246,7.491913847,134.8544493,94.12319493,95.79972163,0,9.39,1,45.12650737,1.4,1.7,45.50168237,12.2169513,0.081125702,4.839019078,-16.42552074,0,2224.551914
44.97570953,1.243942473,17,16.62208325,-0.00035354,1,4.2,2468.312583,155.1794331,40.1109489,7.491905362,134.8542965,94.12258824,95.79972839,0,9.39,1,45.12650737,1.4,1.7,46.96941792,12.23279285,0.08290144,5.041550139,-16.58448295,0,2224.551905
44.97568891,1.263953275,17.25,16.62206801,-0.000286208,1,4.2,2468.311452,155.1794931,40.11094601,7.491898493,134.8541729,94.12209716,95.79973387,0,9.39,1,45.12650737,1.4,1.7,48.43907711,12.24896694,0.084641612,5.247809016,-16.73799891,0,2224.551898
44.97567222,1.283964086,17.5,16.62205567,-0.000231704,1,4.2,2468.310535,155.1795416,40.11094367,7.491892932,134.8540728,94.12169963,95.7997383,0,9.39,1,45.12650737,1.4,1.7,49.91069929,12.26546655,0.086345089,5.457650022,-16.88597172,0,2224.551893
