Section Length,Cumulative Length,Radius
9.92,12486.08,9.39
9.94,12496.02,0
15.32,12511.34,13.24
8.08,12519.42,0
14.53,12533.95,13.3
10.52,12544.47,0
12.98,12557.45,15.07
11.78,12569.23,0
10,12579.23,23.56
63.85,12643.08,0
18.74,12661.82,31.72
26.59,12688.41,21.5
18.13,12706.54,0
25.64,12732.18,22.09
20.28,12752.46,0
18.34,12770.8,22.23
14.41,12785.21,20.43
10.71,12795.92,11.57
11.77,12807.69,15.09
29.13,12836.82,20.63
10.25,12847.07,10.21
78.13,12925.2,0
10.04,12935.24,7.44
16.01,12951.25,11.78
16.68,12967.93,0
7.21,12975.14,9.13
6.61,12981.75,4.05
6.68,12988.43,0
14.26,13002.69,12.32
7.29,13009.98,3.92
9.05,13019.03,29.42
20.96,13039.99,0
32.25,13072.24,33.4
22.99,13095.23,17.72
17.05,13112.28,15.49
12.19,13124.47,5.52
95.71,13220.18,0
4.28,13224.46,6.38
8.89,13233.35,7.09
9.5,13242.85,7.92
7.5,13250.35,8.7
10.67,13261.02,36.5
31.55,13292.57,0
5.2,13297.77,3.71
31.33,13329.1,14.33
7.22,13336.32,0
4,13340.32,6.58
5.99,13346.31,20.92
29.12,13375.43,0
4.91,13380.34,8.51
10,13390.34,8.13
9.8,13400.14,8.49
9.09,13409.23,7.79
5.22,13414.45,0
9.72,13424.17,8.45
8.69,13432.86,0
12.37,13445.23,10.03
7.28,13452.51,0
12.91,13465.42,8.2
3.65,13469.07,0
9.96,13479.03,6.86
6.51,13485.54,0
7.13,13492.67,7.01
5.38,13498.05,4.79
17.79,13515.84,0
9.92,13525.76,9.39
9.94,13535.7,0
15.32,13551.02,13.24
8.08,13559.1,0
14.53,13573.63,13.3
10.52,13584.15,0
12.98,13597.13,15.07
11.78,13608.91,0
10,13618.91,23.56
63.85,13682.76,0
18.74,13701.5,31.72
26.59,13728.09,21.5
18.13,13746.22,0
25.64,13771.86,22.09
20.28,13792.14,0
18.34,13810.48,22.23
14.41,13824.89,20.43
10.71,13835.6,11.57
11.77,13847.37,15.09
29.13,13876.5,20.63
10.25,13886.75,10.21
78.13,13964.88,0
10.04,13974.92,7.44
16.01,13990.93,11.78
16.68,14007.61,0
7.21,14014.82,9.13
6.61,14021.43,4.05
6.68,14028.11,0
14.26,14042.37,12.32
7.29,14049.66,3.92
9.05,14058.71,29.42
20.96,14079.67,0
32.25,14111.92,33.4
22.99,14134.91,17.72
17.05,14151.96,15.49
12.19,14164.15,5.52
95.71,14259.86,0
4.28,14264.14,6.38
8.89,14273.03,7.09
9.5,14282.53,7.92
7.5,14290.03,8.7
10.67,14300.7,36.5
31.55,14332.25,0
5.2,14337.45,3.71
31.33,14368.78,14.33
7.22,14376,0
4,14380,6.58
5.99,14385.99,20.92
29.12,14415.11,0
4.91,14420.02,8.51
10,14430.02,8.13
9.8,14439.82,8.49
9.09,14448.91,7.79
5.22,14454.13,0
9.72,14463.85,8.45
8.69,14472.54,0
12.37,14484.91,10.03
7.28,14492.19,0
12.91,14505.1,8.2
3.65,14508.75,0
9.96,14518.71,6.86
6.51,14525.22,0
7.13,14532.35,7.01
5.38,14537.73,4.79
17.79,14555.52,0
9.92,14565.44,9.39
9.94,14575.38,0
15.32,14590.7,13.24
8.08,14598.78,0
14.53,14613.31,13.3
10.52,14623.83,0
12.98,14636.81,15.07
11.78,14648.59,0
10,14658.59,23.56
63.85,14722.44,0
18.74,14741.18,31.72
26.59,14767.77,21.5
18.13,14785.9,0
25.64,14811.54,22.09
20.28,14831.82,0
18.34,14850.16,22.23
14.41,14864.57,20.43
10.71,14875.28,11.57
11.77,14887.05,15.09
29.13,14916.18,20.63
10.25,14926.43,10.21
78.13,15004.56,0
10.04,15014.6,7.44
16.01,15030.61,11.78
16.68,15047.29,0
7.21,15054.5,9.13
6.61,15061.11,4.05
6.68,15067.79,0
14.26,15082.05,12.32
7.29,15089.34,3.92
9.05,15098.39,29.42
20.96,15119.35,0
32.25,15151.6,33.4
22.99,15174.59,17.72
17.05,15191.64,15.49
12.19,15203.83,5.52
95.71,15299.54,0
4.28,15303.82,6.38
8.89,15312.71,7.09
9.5,15322.21,7.92
7.5,15329.71,8.7
10.67,15340.38,36.5
31.55,15371.93,0
5.2,15377.13,3.71
31.33,15408.46,14.33
7.22,15415.68,0
4,15419.68,6.58
5.99,15425.67,20.92
29.12,15454.79,0
4.91,15459.7,8.51
10,15469.7,8.13
9.8,15479.5,8.49
9.09,15488.59,7.79
5.22,15493.81,0
9.72,15503.53,8.45
8.69,15512.22,0
12.37,15524.59,10.03
7.28,15531.87,0
12.91,15544.78,8.2
3.65,15548.43,0
9.96,15558.39,6.86
6.51,15564.9,0
7.13,15572.03,7.01
5.38,15577.41,4.79
17.79,15595.2,0
9.92,15605.12,9.39
9.94,15615.06,0
15.32,15630.38,13.24
8.08,15638.46,0
14.53,15652.99,13.3
10.52,15663.51,0
12.98,15676.49,15.07
11.78,15688.27,0
10,15698.27,23.56
63.85,15762.12,0
18.74,15780.86,31.72
26.59,15807.45,21.5
18.13,15825.58,0
25.64,15851.22,22.09
20.28,15871.5,0
18.34,15889.84,22.23
14.41,15904.25,20.43
10.71,15914.96,11.57
11.77,15926.73,15.09
29.13,15955.86,20.63
10.25,15966.11,10.21
78.13,16044.24,0
10.04,16054.28,7.44
16.01,16070.29,11.78
16.68,16086.97,0
7.21,16094.18,9.13
6.61,16100.79,4.05
6.68,16107.47,0
14.26,16121.73,12.32
7.29,16129.02,3.92
9.05,16138.07,29.42
20.96,16159.03,0
32.25,16191.28,33.4
22.99,16214.27,17.72
17.05,16231.32,15.49
12.19,16243.51,5.52
95.71,16339.22,0
4.28,16343.5,6.38
8.89,16352.39,7.09
9.5,16361.89,7.92
7.5,16369.39,8.7
10.67,16380.06,36.5
31.55,16411.61,0
5.2,16416.81,3.71
31.33,16448.14,14.33
7.22,16455.36,0
4,16459.36,6.58
5.99,16465.35,20.92
29.12,16494.47,0
4.91,16499.38,8.51
10,16509.38,8.13
9.8,16519.18,8.49
9.09,16528.27,7.79
5.22,16533.49,0
9.72,16543.21,8.45
8.69,16551.9,0
12.37,16564.27,10.03
7.28,16571.55,0
12.91,16584.46,8.2
3.65,16588.11,0
9.96,16598.07,6.86
6.51,16604.58,0
7.13,16611.71,7.01
5.38,16617.09,4.79
17.79,16634.88,0
9.92,16644.8,9.39
9.94,16654.74,0
15.32,16670.06,13.24
8.08,16678.14,0
14.53,16692.67,13.3
10.52,16703.19,0
12.98,16716.17,15.07
11.78,16727.95,0
10,16737.95,23.56
63.85,16801.8,0
18.74,16820.54,31.72
26.59,16847.13,21.5
18.13,16865.26,0
25.64,16890.9,22.09
20.28,16911.18,0
18.34,16929.52,22.23
14.41,16943.93,20.43
10.71,16954.64,11.57
11.77,16966.41,15.09
29.13,16995.54,20.63
10.25,17005.79,10.21
78.13,17083.92,0
10.04,17093.96,7.44
16.01,17109.97,11.78
16.68,17126.65,0
7.21,17133.86,9.13
6.61,17140.47,4.05
6.68,17147.15,0
14.26,17161.41,12.32
7.29,17168.7,3.92
9.05,17177.75,29.42
20.96,17198.71,0
32.25,17230.96,33.4
22.99,17253.95,17.72
17.05,17271,15.49
12.19,17283.19,5.52
95.71,17378.9,0
4.28,17383.18,6.38
8.89,17392.07,7.09
9.5,17401.57,7.92
7.5,17409.07,8.7
10.67,17419.74,36.5
31.55,17451.29,0
5.2,17456.49,3.71
31.33,17487.82,14.33
7.22,17495.04,0
4,17499.04,6.58
5.99,17505.03,20.92
29.12,17534.15,0
4.91,17539.06,8.51
10,17549.06,8.13
9.8,17558.86,8.49
9.09,17567.95,7.79
5.22,17573.17,0
9.72,17582.89,8.45
8.69,17591.58,0
12.37,17603.95,10.03
7.28,17611.23,0
12.91,17624.14,8.2
3.65,17627.79,0
9.96,17637.75,6.86
6.51,17644.26,0
7.13,17651.39,7.01
5.38,17656.77,4.79
17.79,17674.56,0
9.92,17684.48,9.39
9.94,17694.42,0
15.32,17709.74,13.24
8.08,17717.82,0
14.53,17732.35,13.3
10.52,17742.87,0
12.98,17755.85,15.07
11.78,17767.63,0
10,17777.63,23.56
63.85,17841.48,0
18.74,17860.22,31.72
26.59,17886.81,21.5
18.13,17904.94,0
25.64,17930.58,22.09
20.28,17950.86,0
18.34,17969.2,22.23
14.41,17983.61,20.43
10.71,17994.32,11.57
11.77,18006.09,15.09
29.13,18035.22,20.63
10.25,18045.47,10.21
78.13,18123.6,0
10.04,18133.64,7.44
16.01,18149.65,11.78
16.68,18166.33,0
7.21,18173.54,9.13
6.61,18180.15,4.05
6.68,18186.83,0
14.26,18201.09,12.32
7.29,18208.38,3.92
9.05,18217.43,29.42
20.96,18238.39,0
32.25,18270.64,33.4
22.99,18293.63,17.72
17.05,18310.68,15.49
