Type,Section Length,Cumulative Length,Radius
,5.828,7956.275,443.856
,5.833,7962.108,327.234
,5.833,7967.941,249.546
,5.797,7973.738,207.628
,5.708,7979.446,184.534
,5.583,7985.029,165.507
,5.458,7990.487,149.608
,5.333,7995.82,144.977
,5.203,8001.023,139.359
,5.097,8006.12,132.424
,4.975,8011.095,115.205
,4.886,8015.981,105.811
,4.8,8020.781,98.682
,4.711,8025.492,90.498
,4.633,8030.125,85.483
,4.575,8034.7,91.18
,4.533,8039.233,98.817
,4.475,8043.708,95.838
,4.428,8048.136,90.022
,4.414,8052.55,91.943
,4.381,8056.931,87.326
,4.331,8061.262,82.401
,4.294,8065.556,81.383
,4.3,8069.856,85.286
,4.333,8074.189,85.073
,4.381,8078.57,84.314
,4.417,8082.987,86.833
,4.447,8087.434,85.791
,4.478,8091.912,88.48
,4.508,8096.42,88.165
,4.542,8100.962,91.418
,4.564,8105.526,88.469
,4.603,8110.129,90.739
,4.647,8114.776,92.5
,4.697,8119.473,99.08
,4.733,8124.206,105.246
,4.764,8128.97,119.866
,4.811,8133.781,139.616
,4.858,8138.639,161.48
,4.908,8143.547,184.649
,4.95,8148.497,211.67
,4.992,8153.489,244.224
,5.028,8158.517,303.155
,5.058,8163.575,389.288
,5.092,8168.667,562.281
,5.142,8173.809,929.268
,5.2,8179.009,1722.732
,10.517,8189.526,0
,5.314,8194.84,1799.02
,5.356,8200.196,1218.229
,5.394,8205.59,1022.884
,5.433,8211.023,911.905
,5.475,8216.498,898.712
,5.519,8222.017,1070.838
,5.561,8227.578,1313.539
,5.603,8233.181,1684.163
,75.011,8308.192,0
,5.386,8313.578,1971.471
,5.2,8318.778,1148.488
,5.019,8323.797,546.442
,4.875,8328.672,327.377
,4.725,8333.397,214.698
,4.631,8338.028,161.906
,4.514,8342.542,131.455
,4.425,8346.967,114.712
,4.35,8351.317,102.601
,4.3,8355.617,98.681
,4.261,8359.878,89.414
,4.231,8364.109,82.928
,4.2,8368.309,78.867
,4.175,8372.484,77.931
,4.153,8376.637,78.832
,4.133,8380.77,73.174
,4.139,8384.909,75.923
,4.158,8389.067,75.977
,4.181,8393.248,76.462
,4.197,8397.445,75.138
,4.236,8401.681,85.478
,4.272,8405.953,88.177
,4.317,8410.27,96.419
,4.356,8414.626,105.099
,4.394,8419.02,120.768
,4.447,8423.467,138.088
,4.506,8427.973,142.712
,4.55,8432.523,180.372
