elapsedDistance,brakePosition,engineSpeed,torque
263.0,0.0,3096.593059,100.0
263.5,0.0,3095.939387,100.0
264.0,0.0,3095.302512,100.0
264.5,0.0,3094.681937,100.0
265.0,0.0,3098.322645,100.0
265.5,0.0,3106.185094,100.0
266.0,0.0,3114.010984,100.0
266.5,0.0,3121.800624,100.0
267.0,0.0,3129.554322,100.0
267.5,0.0,3137.272379,100.0
268.0,0.0,3144.955095,100.0
268.5,0.0,3152.602761,100.0
269.0,0.0,3160.215669,100.0
269.5,0.0,3167.794103,100.0
270.0,0.0,3175.338346,100.0
270.5,0.0,3182.848675,100.0
271.0,0.0,3190.325365,100.0
271.5,0.0,3197.768684,100.0
272.0,0.0,3205.178901,100.0
272.5,0.0,3212.556279,100.0
273.0,0.0,3219.901076,100.0
273.5,0.0,3227.21355,100.0
274.0,0.0,3234.493952,100.0
274.5,0.0,3241.742533,100.0
275.0,0.0,3248.959538,100.0
275.5,0.0,3256.145212,100.0
276.0,0.0,3263.299793,100.0
276.5,0.0,3270.423518,100.0
277.0,0.0,3277.516622,100.0
277.5,0.0,3284.579336,100.0
278.0,0.0,3291.611887,100.0
278.5,0.0,3298.6145,100.0
279.0,0.0,3305.587398,100.0
279.5,0.0,3312.530801,100.0
280.0,0.0,3319.444925,100.0
280.5,0.0,3326.329984,100.0
281.0,0.0,3333.186191,100.0
281.5,0.0,3340.013755,100.0
282.0,0.0,3346.812881,100.0
282.5,100.0,3330.951301,100.0
283.0,100.0,3303.769078,100.0
283.5,100.0,3276.419576,100.0
284.0,100.0,3248.898421,100.0
284.5,100.0,3221.201065,100.0
285.0,100.0,3193.322767,100.0
285.5,0.0,3177.145025,100.0
286.0,0.0,3173.539598,100.0
286.5,0.0,3170.283622,100.0
287.0,0.0,3167.26676,100.0
287.5,0.0,3164.438922,100.0
288.0,0.0,3161.769581,100.0
288.5,0.0,3159.237623,100.0
289.0,0.0,3156.827324,100.0
289.5,0.0,3154.526403,100.0
290.0,0.0,3152.324925,100.0
290.5,0.0,3150.214648,100.0
291.0,0.0,3148.188597,100.0
291.5,0.0,3146.24077,100.0
292.0,0.0,3144.365939,100.0
292.5,0.0,3142.559498,100.0
293.0,0.0,3140.81735,100.0
293.5,0.0,3139.135826,100.0
294.0,0.0,3137.511614,100.0
294.5,0.0,3135.941708,100.0
295.0,0.0,3134.423366,100.0
295.5,0.0,3132.954071,100.0
296.0,0.0,3131.53151,100.0
296.5,26.26896004,3128.261639,100.0
297.0,28.65848503,3117.484699,100.0
297.5,30.95009494,3106.120475,100.0
298.0,33.15808706,3094.186505,100.0
298.5,35.29299686,3081.696985,100.0
299.0,37.36282406,3068.663583,100.0
299.5,39.37379008,3055.095979,100.0
300.0,41.33082857,3041.002252,100.0
300.5,43.23791555,3026.389159,100.0
301.0,45.09829897,3011.262342,100.0
301.5,46.9146626,2995.626486,100.0
302.0,48.68924595,2979.485435,100.0
302.5,50.42393371,2962.842284,100.0
303.0,52.12032366,2945.699458,100.0
303.5,39.25549093,2929.959517,100.0
304.0,41.34885645,2915.555919,100.0
