Elapsed Time,Voltage,Adjusted SoC
12140.579,3.89254,72.689979
12150.579,3.8919,72.551082
12160.579,3.89092,72.412188
12170.579,3.88995,72.27328
12180.579,3.88898,72.134368
12190.579,3.88801,71.995475
12200.579,3.88704,71.856602
12210.579,3.8864,71.717709
12220.579,3.88575,71.578813
12230.579,3.88478,71.439909
12240.579,3.88381,71.301024
12250.579,3.88284,71.16211
12260.579,3.88187,71.023203
12270.579,3.88122,70.884323
12280.579,3.87993,70.745431
12290.579,3.87928,70.60654
12300.579,3.87831,70.467668
12310.579,3.87734,70.328791
12320.579,3.87637,70.18989
12330.579,3.87572,70.050996
12340.579,3.87475,69.91211
12350.579,3.87378,69.773207
12360.579,3.87281,69.634332
12370.579,3.87217,69.495425
12380.579,3.8712,69.356567
12390.579,3.87055,69.217666
12400.579,3.86958,69.078783
12410.579,3.86861,68.9399
12420.579,3.86764,68.80101
12430.579,3.86667,68.662123
12440.579,3.86602,68.523226
12450.579,3.86505,68.384335
12460.579,3.8644,68.245445
12470.579,3.86343,68.106556
12480.579,3.86279,67.967667
12490.579,3.86214,67.828775
12500.579,3.86085,67.689906
12510.579,3.8602,67.551037
12520.579,3.85923,67.412154
12530.579,3.85826,67.273245
12540.579,3.85729,67.134352
12550.579,3.85664,66.995469
12560.579,3.85599,66.856572
12570.579,3.85502,66.717705
12580.579,3.85373,66.578801
12590.579,3.85341,66.439934
12600.579,3.85244,66.301045
12610.579,3.85179,66.162183
12620.579,3.85082,66.023312
12630.579,3.85017,65.884444
12640.579,3.8492,65.745558
12650.579,3.84855,65.606643
12660.579,3.84758,65.467744
12670.579,3.84661,65.328866
12680.579,3.84597,65.18999
12690.579,3.84532,65.051115
12700.579,3.84435,64.91223
12710.579,3.8437,64.773343
12720.579,3.84273,64.634456
12730.579,3.84241,64.495578
12740.579,3.84144,64.356683
12750.579,3.84079,64.217782
12760.579,3.83982,64.078897
12770.579,3.83918,63.939993
12780.579,3.8382,63.801114
12790.579,3.83756,63.662219
12800.579,3.83691,63.523363
12810.579,3.83626,63.384477
12820.579,3.83529,63.245587
12830.579,3.83465,63.106706
12840.579,3.834,62.967811
12850.579,3.83303,62.828926
12860.579,3.83206,62.690028
12870.579,3.83174,62.55113
12880.579,3.83077,62.412242
12890.579,3.83012,62.273372
12900.579,3.82947,62.134483
12910.579,3.82883,61.995594
12920.579,3.82786,61.856719
12930.579,3.82721,61.717836
12940.579,3.82656,61.578957
12950.579,3.82591,61.440071
12960.579,3.82527,61.301177
12970.579,3.8243,61.162272
12980.579,3.82365,61.023374
12990.579,3.82333,60.884484
13000.579,3.82236,60.74557
13010.579,3.82139,60.6067
13020.579,3.82074,60.46778
13030.579,3.82042,60.328893
13040.579,3.81945,60.19
13050.579,3.81912,60.051107
13060.579,3.81815,59.912221
13070.579,3.81751,59.773315
13080.579,3.81686,59.634408
13090.579,3.81621,59.495505
13100.579,3.81556,59.356631
13110.579,3.81492,59.217742
13120.579,3.81427,59.078816
